size,avg_time
1,0.0003763
2,0.0009118
3,0.001655
4,0.002707
5,0.003924
6,0.005482
7,0.007172
8,0.009258
9,0.01142
10,0.01398
11,0.0166
12,0.0197
13,0.0228
14,0.02638
15,0.02993
16,0.03401
17,0.03806
18,0.04261
19,0.04713
20,0.05223
21,0.05715
22,0.06285
23,0.06821
24,0.07433
25,0.08022
26,0.08677
27,0.09313
28,0.1002
29,0.107
30,0.1147
31,0.1219
32,0.1299
33,0.1377
34,0.1461
35,0.1543
36,0.1633
37,0.172
38,0.1815
39,0.1906
40,0.2006
41,0.2101
42,0.2206
43,0.2306
44,0.2415
45,0.2521
46,0.2636
47,0.2744
48,0.2865
49,0.2978
50,0.3103
