size,avg_time
1,0.0003414
2,0.0006728
3,0.001132
4,0.001895
5,0.00269
6,0.003624
7,0.004695
8,0.005918
9,0.007275
10,0.008777
11,0.01044
12,0.01225
13,0.01414
14,0.01625
15,0.01841
16,0.02077
17,0.02332
18,0.02589
19,0.02877
20,0.0317
21,0.03466
22,0.03786
23,0.04134
24,0.04483
25,0.04847
26,0.04715
27,0.05084
28,0.05435
29,0.05816
30,0.06208
31,0.06612
32,0.07033
33,0.07464
34,0.07904
35,0.08365
36,0.08832
37,0.09318
38,0.09812
39,0.1032
40,0.1084
41,0.1138
42,0.1192
43,0.1248
44,0.1305
45,0.1364
46,0.1423
47,0.1484
48,0.1547
49,0.1611
50,0.1676
