size,avg_time
1,0.0003467
2,0.0006498
3,0.001034
4,0.001715
5,0.002412
6,0.003236
7,0.004162
8,0.005246
9,0.006462
10,0.007808
11,0.009266
12,0.01091
13,0.01268
14,0.01449
15,0.01645
16,0.0185
17,0.02071
18,0.02306
19,0.02562
20,0.02825
21,0.03087
22,0.03373
23,0.03674
24,0.03992
25,0.04311
26,0.04636
27,0.04987
28,0.05355
29,0.05713
30,0.0561
31,0.05962
32,0.06341
33,0.06722
34,0.07118
35,0.07527
36,0.07955
37,0.08386
38,0.08841
39,0.0928
40,0.0975
41,0.1023
42,0.1072
43,0.1123
44,0.1173
45,0.1226
46,0.1279
47,0.1335
48,0.1389
49,0.1448
50,0.1507
