size,avg_time
1,0.0003329
2,0.0006395
3,0.001063
4,0.00177
5,0.002499
6,0.003363
7,0.004354
8,0.005475
9,0.006724
10,0.008107
11,0.009623
12,0.0113
13,0.01308
14,0.015
15,0.01698
16,0.01914
17,0.02143
18,0.02386
19,0.02649
20,0.02918
21,0.03202
22,0.03486
23,0.03794
24,0.04117
25,0.04463
26,0.04809
27,0.05153
28,0.05689
29,0.05354
30,0.05931
31,0.06083
32,0.06467
33,0.06863
34,0.07269
35,0.07693
36,0.0813
37,0.08562
38,0.09018
39,0.09487
40,0.09966
41,0.1046
42,0.1096
43,0.1147
44,0.12
45,0.1253
46,0.1309
47,0.1364
48,0.1422
49,0.1482
50,0.154
