size,avg_time
1,0.0003153
2,0.0006004
3,0.0009928
4,0.001638
5,0.002307
6,0.003093
7,0.003999
8,0.005027
9,0.006175
10,0.007451
11,0.008853
12,0.01034
13,0.012
14,0.01374
15,0.01563
16,0.01761
17,0.01968
18,0.02192
19,0.02429
20,0.02677
21,0.02938
22,0.032
23,0.03491
24,0.03779
25,0.04085
26,0.04405
27,0.04737
28,0.05071
29,0.05267
30,0.0564
31,0.05591
32,0.05942
33,0.06305
34,0.0668
35,0.07066
36,0.07462
37,0.07885
38,0.08288
39,0.08719
40,0.09158
41,0.09609
42,0.1006
43,0.1054
44,0.1103
45,0.1155
46,0.1202
47,0.1253
48,0.1307
49,0.136
50,0.1415
